pub_date	title	venue	excerpt	citation	url_slug	paper_url
2023-01-01	Bayesian Clustering of n-gons via a Double Dirichlet Mixture Model	Journal of the American Statistical Association		Jin et al. (2023). "Bayesian Clustering of n-gons via a Double Dirichlet Mixture Model." <i>Journal of the American Statistical Association</i>. 1(1).	bacon
2023-01-01	Deep learning-based measurement of murine bone length in X-ray images	Scientific Reports		Rong et al. (2023). "Deep learning-based measurement of murine bone length in X-ray images." <i>Scientific Reports</i>. 1(2).	bone-length
2022-12-08	A Deep Learning Approach for Histology-Based Nuclei Segmentation and Tumor Microenvironment Characterization	Modern Pathology		Rong et al. (2023). "A Deep Learning Approach for Histology-Based Nuclei Segmentation and Tumor Microenvironment Characterization." <i>Modern Pathology</i>. 1(3).	hd-yolo	https://www.biorxiv.org/content/10.1101/2022.12.08.519641v1.abstract
2023-01-01	A deep learning-based Onion Peeling algorithm for measurement of oral epithelium layer number	Cancers		Zhang et al. (2023). "A deep learning-based Onion Peeling algorithm for measurement of oral epithelium layer number." <i>Cancers</i>. 1(4).	onion-peeling
2023-02-15	Deep Learning-Based Hepatic Ploidy Quantification Using H&E Histopathology Images	Genes		Wen et al. (2023). "Deep Learning-Based Hepatic Ploidy Quantification Using H&E Histopathology Images." <i>Genes</i>. 1(4).	hepatic-ploidy	
